索引,代号1,代号2,X轴坐标,Y轴坐标,压线筒内经,压线筒外经,焊杯高度（压线筒深度）,纤芯面积,线束直径,屏蔽层直径,焊杯类型
index,mark1,mark2,coordx,coordy,insideDiameter,outsideDiameter,cupHeight,coreArea,lineOuterDiameter,shieldDiameter,cupType
1,1,A,0,10.605,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
2,2,B,-3.277125,10.085954,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
3,3,C,-6.233462,8.579625,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
4,4,D,-8.579625,6.233463,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
5,5,E,-10.085954,3.277126,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
6,6,F,-10.605,0.000001,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
7,7,G,-10.085955,-3.277125,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
8,8,H,-8.579626,-6.233462,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
9,9,J,-6.233463,-8.579625,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
10,10,K,-3.277126,-10.085954,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
11,11,L,-0.000001,-10.605,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
12,12,M,3.277124,-10.085955,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
13,13,N,6.233462,-8.579626,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
14,14,P,8.579625,-6.233463,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
15,15,R,10.085954,-3.277126,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
16,16,S,10.605,-0.000001,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
17,17,T,10.085955,3.277124,1.17,1.78,3.5,$0.35$0.2,$1.27$1.4,$0$0,压接
18,18,U,8.579626,6.233462,1.17,1.78,3.5,,,,压接
19,19,V,6.233464,8.579624,1.17,1.78,3.5,,,,压接
20,20,W,3.277127,10.085954,1.17,1.78,3.5,,,,压接
21,21,X,0,7.2,1.17,1.78,3.5,,,,压接
22,22,Y,-3.314554,6.391692,1.17,1.78,3.5,,,,压接
23,23,Z,-5.884891,4.148259,1.17,1.78,3.5,,,,压接
24,24,a,-7.133895,0.973417,1.17,1.78,3.5,,,,压接
25,25,b,-6.781126,-2.419986,1.17,1.78,3.5,,,,压接
26,26,c,-4.905791,-5.270029,1.17,1.78,3.5,,,,压接
27,27,d,-1.92896,-6.936794,1.17,1.78,3.5,,,,压接
28,28,e,1.48098,-7.046041,1.17,1.78,3.5,,,,压接
29,29,f,4.558397,-5.573241,1.17,1.78,3.5,,,,压接
30,30,g,6.612317,-2.849082,1.17,1.78,3.5,,,,压接
31,31,h,7.181574,0.514781,1.17,1.78,3.5,,,,压接
32,32,i,6.138353,3.76306,1.17,1.78,3.5,,,,压接
33,33,j,3.716888,6.16642,1.17,1.78,3.5,,,,压接
34,34,k,0,3.81,1.17,1.78,3.5,,,,压接
35,35,m,-2.97136,2.384769,1.17,1.78,3.5,,,,压接
36,36,n,-3.719688,-0.824635,1.17,1.78,3.5,,,,压接
37,37,p,-1.68512,-3.417085,1.17,1.78,3.5,,,,压接
38,38,q,1.610175,-3.453033,1.17,1.78,3.5,,,,压接
39,39,r,3.700813,-0.905584,1.17,1.78,3.5,,,,压接
40,40,s,3.022677,2.319381,1.17,1.78,3.5,,,,压接
41,41,t,0,0,1.17,1.78,3.5,,,,压接
