编号,名称,X坐标,Y坐标,类型
:part,name,x,y,type
1,A,4.98,12.7,Circular
2,B,7.98,11.05,Circular
3,C,10.49,8.81,Circular
4,D,12.32,5.84,Circular
5,E,13.39,2.57,Circular
6,F,13.61,-0.76,Circular
7,G,12.98,-4.17,Circular
8,H,11.53,-7.29,Circular
9,J,9.35,-9.93,Circular
10,K,6.58,-11.94,Circular
11,L,3.34,-13.18,Circular
12,M,0,-13.64,Circular
13,N,-3.34,-13.18,Circular
14,P,-6.58,-11.94,Circular
15,R,-9.35,-9.93,Circular
16,S,-11.53,-7.29,Circular
17,T,-12.98,-4.17,Circular
18,U,-13.61,-0.76,Circular
19,V,-13.39,2.57,Circular
20,W,-12.32,5.84,Circular
21,X,-10.49,8.81,Circular
22,Y,-7.98,11.05,Circular
23,Z,-4.98,12.7,Circular
24,a,-1.73,11.53,Circular
25,b,1.73,11.53,Circular
26,c,4.39,9.22,Circular
27,d,7.24,7.19,Circular
28,e,9.19,4.15,Circular
29,f,10.13,1.17,Circular
30,g,9.96,-2.24,Circular
31,h,8.86,-5.41,Circular
32,i,6.38,-7.98,Circular
33,j,3.38,-9.63,Circular
34,k,0,-10.27,Circular
35,m,-3.38,-9.63,Circular
36,n,-6.38,-7.98,Circular
37,p,-8.86,-5.41,Circular
38,q,-9.96,-2.24,Circular
39,r,-10.13,1.17,Circular
40,s,-9.19,4.15,Circular
41,t,-7.24,7.19,Circular
42,u,-4.39,9.22,Circular
43,v,0,8.59,Circular
44,w,3.73,5.66,Circular
45,x,6.02,3.1,Circular
46,y,6.78,-0.25,Circular
47,z,5.79,-3.53,Circular
48,AA,3.33,-5.92,Circular
49,BB,0,-6.78,Circular
50,CC,-3.33,-5.92,Circular
51,DD,-5.79,-3.53,Circular
52,EE,-6.78,-0.25,Circular
53,FF,-6.02,3.1,Circular
54,GG,-3.73,5.66,Circular
55,HH,0,5.08,Circular
56,JJ,2.67,2.39,Circular
57,KK,3.43,-1.04,Circular
58,LL,0,-3.35,Circular
59,MM,-3.43,-1.04,Circular
60,NN,-2.67,2.39,Circular
61,PP,0,0,Circular
